TIME FRAME,open,high,low,close,VOLUME
5/5/2023 19:30,123.62,123.65,123.62,123.65,451
5/5/2023 19:10,123.62,123.62,123.62,123.62,100
5/5/2023 19:00,123.62,123.62,123.62,123.62,155
5/5/2023 17:25,123.62,123.62,123.62,123.62,106
5/5/2023 16:45,123.65,123.65,123.65,123.65,957
5/5/2023 16:30,123.5,123.5,123.5,123.5,100
5/5/2023 16:25,123.4726,123.4726,123.4726,123.4726,105
5/5/2023 16:20,123.65,123.65,123.65,123.65,2641
5/5/2023 16:10,123.75,123.75,123.65,123.65,1367
5/5/2023 16:05,123.65,123.77,123.65,123.77,92206
5/5/2023 16:00,123.67,123.7,123.58,123.7,202815
5/5/2023 15:55,123.77,123.8,123.635,123.665,112538
5/5/2023 15:50,123.82,123.83,123.76,123.76,94447
5/5/2023 15:45,123.785,123.875,123.75,123.82,51916
5/5/2023 15:40,123.83,123.8584,123.73,123.79,43613
5/5/2023 15:35,123.8,123.87,123.75,123.845,40385
5/5/2023 15:30,123.845,123.85,123.79,123.81,28316
5/5/2023 15:25,123.84,123.9,123.78,123.86,28928
5/5/2023 15:20,123.88,123.92,123.79,123.84,40436
5/5/2023 15:15,123.9501,123.97,123.88,123.88,27315
5/5/2023 15:10,123.9672,123.99,123.9,123.951,16267
5/5/2023 15:05,123.89,123.99,123.84,123.95,16267
5/5/2023 15:00,123.91,123.9817,123.87,123.885,36458
5/5/2023 14:55,123.8354,123.93,123.83,123.905,30699
5/5/2023 14:50,123.7142,123.83,123.7,123.81,26323
5/5/2023 14:45,123.62,123.7,123.61,123.7,36132
5/5/2023 14:40,123.58,123.66,123.56,123.62,28165
5/5/2023 14:35,123.62,123.7,123.54,123.57,44947
5/5/2023 14:30,123.49,123.68,123.4875,123.62,32983
5/5/2023 14:25,123.44,123.4958,123.41,123.48,20875
5/5/2023 14:20,123.51,123.52,123.42,123.44,60129
5/5/2023 14:15,123.5199,123.56,123.46,123.5,20628
5/5/2023 14:10,123.41,123.5505,123.405,123.51,20031
5/5/2023 14:05,123.41,123.46,123.36,123.41,26487
5/5/2023 14:00,123.4,123.42,123.325,123.4,24318
5/5/2023 13:55,123.45,123.5,123.4,123.41,78490
5/5/2023 13:50,123.51,123.52,123.44,123.4455,19128
5/5/2023 13:45,123.495,123.53,123.44,123.51,185812
5/5/2023 13:40,123.395,123.5,123.39,123.4972,44656
5/5/2023 13:35,123.35,123.4062,123.315,123.38,29634
5/5/2023 13:30,123.21,123.34,123.2,123.33,19588
5/5/2023 13:25,123.2,123.23,123.17,123.2,20964
5/5/2023 13:20,123.21,123.255,123.17,123.19,12777
5/5/2023 13:15,123.24,123.29,123.2,123.22,27695
5/5/2023 13:10,123.12,123.26,123.1,123.24,29237
5/5/2023 13:05,123.1189,123.21,123.1,123.11,23188
5/5/2023 13:00,123.055,123.173,123.05,123.115,19437
5/5/2023 12:55,122.84,123.08,122.83,123.07,21692
5/5/2023 12:50,122.96,122.96,122.805,122.8304,34907
5/5/2023 12:45,123.11,123.12,122.96,122.96,44682
5/5/2023 12:40,123.22,123.23,123.07,123.12,105250
5/5/2023 12:35,123.24,123.2682,123.2,123.22,33961
5/5/2023 12:30,123.34,123.38,123.21,123.24,33292
